Player Name,Goals Conceded by team per season,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,49,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,A58,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLR48,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Fernando Pacheco,43,ALA,LIGA,G,36,3240,36,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,1,0,4,568,997,0,7,291,1,13,1,0,0,0,0,0,0,0,0,0,1,0,1297,0,35,1,268,0,3,0,444,273,0,0,0,0,0,0,0,0,0,0,0,0,42,11,115,70,45,12,0,6,2,15,15,8,374,0,1,0,0,0,1
Alban Lafont,41,TFC,FRAN,G,36,3240,36,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,2,2,4,9,500,1039,0,9,347,2,18,3,4,0,0,0,0,0,0,0,0,0,0,1405,0,57,6,257,0,10,0,549,257,0,0,0,0,0,0,0,0,1,0,0,0,41,10,106,61,44,43,3,9,1,37,34,17,305,0,0,0,0,0,2
Bruno Alves,76,CAG,SERI,D,36,3239,36,0,0,5,0,1,1,0,0,0,0,30,9,65,9,3,7,0,7,0,26,22,15,47,15,1358,1699,3,114,176,3,153,1,0,12,5,0,18,4,1,0,0,5,0,2131,43,154,83,400,11,41,0,385,270,0,0,0,0,0,0,0,0,3,15,4,1,74,4,0,0,0,0,1,0,0,205,192,0,222,0,1,2,0,0,5
Alex Cordaz,58,CRO,SERI,G,36,3236,36,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,2,401,1146,0,6,366,1,9,1,1,0,0,0,0,0,0,0,0,0,0,1467,0,77,1,234,0,26,0,755,235,0,0,0,0,0,0,0,0,1,0,0,0,54,4,142,92,49,22,0,9,2,39,38,21,300,0,0,0,0,0,1
Alexis San33z,44,ARS,EPL,F,38,3223,36,2,8,6,0,0,24,10,5,10,0,129,49,24,67,17,78,10,67,1,1,53,40,49,70,1208,1643,17,14,130,108,244,0,3,78,33,21,51,16,3,0,1,128,0,2469,255,686,296,1021,0,310,0,789,36,3,2,0,1,1,0,6,3,43,12,4,2,41,11,0,0,0,0,0,0,0,4,4,0,75,9,0,27,7,14,159
Benjamin Andre,42,REN,FRAN,M,36,3218,36,0,4,6,0,0,0,3,1,3,0,25,4,72,18,4,39,2,35,1,2,121,86,57,63,2042,2476,4,133,329,30,340,1,2,13,3,0,12,1,0,0,0,60,0,3125,32,521,315,1160,8,66,0,600,172,0,0,0,0,0,0,0,0,5,0,0,0,37,10,0,0,0,0,2,0,0,54,54,0,95,4,0,2,3,0,48
R41ain Th41as,49,SCO,FRAN,D,36,3208,36,0,0,5,0,1,1,0,0,0,0,9,2,58,2,0,3,0,3,0,23,46,34,25,12,1328,1549,0,88,159,4,147,0,2,8,2,1,1,0,0,0,0,5,0,1991,21,87,99,330,7,15,0,256,252,0,0,0,0,0,0,0,0,3,0,0,0,47,8,0,0,0,0,1,0,0,208,195,0,150,0,0,2,2,1,7
Yoan Cardinale,36,NIC,FRAN,G,36,3206,36,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,6,765,997,0,7,322,4,17,3,2,0,0,0,0,0,0,0,0,0,0,1426,0,5,4,89,0,1,0,236,90,0,0,0,0,0,0,0,0,0,0,0,0,35,11,112,66,43,8,0,4,0,16,16,8,222,0,1,0,0,0,4
Danilo,56,UDI,SERI,D,36,3204,36,0,1,9,0,1,2,1,0,1,0,15,4,55,12,5,5,0,4,0,34,40,34,38,11,1061,1381,5,61,131,1,109,0,0,13,4,2,2,0,0,0,0,3,1,1837,35,106,75,361,13,43,2,360,234,0,0,0,0,0,0,0,0,4,0,0,0,51,5,0,0,0,0,1,0,0,202,190,0,153,0,0,3,0,1,1
Dani Parejo,65,VAL,LIGA,M,36,3195,36,0,3,12,0,0,5,7,1,4,3,50,26,41,197,46,66,7,32,27,3,96,67,44,91,1905,2203,3,28,253,32,247,0,1,21,11,4,29,15,1,2,0,67,0,2962,48,540,207,1269,2,254,0,597,236,5,3,0,2,49,11,151,129,20,21,12,1,56,6,0,0,0,0,1,0,0,30,30,0,136,3,0,2,3,4,54
