Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,EG,ES,IBS,IBSOG,IBG,OBS,OBSOG,OBG,AOG,APW,DSP,OWN,TOUCH,TBOX,PFT,DL,AFZP,BLKCR,PENT,CLROL,POSL,LPOPP,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Lukasz Skorupski,BOL,SERI,G,28,2520,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,588,787,0,6,245,0,9,3,2,0,0,0,0,0,0,0,0,0,0,1131,0,8,4,49,0,4,0,214,49,0,0,0,0,0,0,0,0,0,0,0,0,46,4,103,64,38,6,0,7,2,34,34,11,119,0,0,0,0,0,0
Jaume Domenech,VAL,LIGA,G,28,2520,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,510,786,0,4,226,1,6,2,0,0,0,0,0,0,0,0,0,0,0,1036,0,28,1,163,0,6,0,283,163,0,0,0,0,0,0,0,0,0,0,0,0,42,4,90,58,32,7,0,6,2,31,31,15,262,0,1,0,0,0,1
Benjamin Lecomte,ASM,FRAN,G,28,2520,28,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,652,896,0,10,209,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1099,1,22,3,77,0,5,0,248,76,0,0,0,0,0,0,0,0,1,0,0,0,27,13,43,27,15,14,1,3,0,32,32,12,172,0,0,0,0,0,0
Eric Dier,TOT,EPL,D,28,2520,28,0,0,3,0,0,0,0,0,0,0,14,2,23,5,1,6,0,6,0,31,23,14,16,12,1488,1789,1,86,139,3,123,0,3,5,0,0,9,2,0,0,0,1,0,2085,21,83,82,356,1,31,0,323,202,0,0,0,0,0,0,0,0,5,8,2,0,34,8,0,0,0,0,2,0,0,122,122,0,111,0,0,0,2,0,4
David Soria,GET,LIGA,G,28,2520,28,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,3,384,840,0,9,278,0,13,0,0,0,0,0,0,0,0,0,0,0,0,965,0,97,5,254,0,21,0,461,255,0,0,0,0,0,0,0,0,1,0,0,0,31,10,54,31,22,11,0,7,1,25,25,13,302,0,0,0,0,0,0
Jerdy Schouten,BOL,SERI,M,34,2519,28,6,13,8,0,1,1,1,0,1,0,9,4,79,9,2,23,3,22,0,13,50,25,48,24,1204,1382,2,37,249,37,145,2,4,0,0,0,9,4,1,0,0,22,0,1803,3,312,141,649,3,35,1,271,121,0,0,0,0,0,0,0,0,4,0,0,0,44,2,0,0,0,0,1,0,0,34,34,0,75,3,0,1,0,0,60
Inigo Martinez,ATH,LIGA,D,28,2519,28,0,0,9,0,1,1,0,0,0,0,18,7,28,10,2,6,1,6,0,7,22,15,30,35,1197,1446,2,74,159,7,133,0,0,11,4,1,7,3,0,0,0,5,0,1742,20,151,99,453,0,34,1,282,227,0,0,0,0,0,0,0,0,9,1,0,0,34,4,0,0,0,0,0,0,0,96,96,0,149,1,0,4,3,1,9
Manuel Prietl,DSC,BUND,M,28,2518,28,0,1,3,0,0,1,1,0,1,0,18,5,45,6,1,10,4,9,0,7,65,44,38,9,775,971,1,33,162,20,127,0,0,2,1,0,16,4,1,0,0,10,0,1306,16,99,145,237,0,21,0,255,66,0,0,0,0,0,0,0,0,6,0,0,0,43,8,0,0,0,0,0,0,0,24,24,0,42,1,0,0,1,0,27
Antonio Candreva,SAM,SERI,F/M,35,2511,28,7,14,1,0,0,5,8,0,4,4,57,20,9,291,51,63,8,31,24,3,28,19,15,29,985,1279,27,3,160,29,89,1,0,23,9,5,34,11,0,0,0,11,0,1977,54,361,86,693,10,349,0,631,87,2,2,0,0,29,6,106,82,49,4,0,0,36,1,0,0,0,0,0,0,0,17,17,0,120,1,0,10,2,4,51
Diego Godin,CAG,SERI,D,28,2510,28,0,2,3,0,0,1,0,0,0,0,12,4,56,2,1,7,2,7,0,24,60,32,31,28,1292,1545,1,70,154,16,172,0,0,12,4,1,0,0,0,0,0,4,0,1932,31,133,93,434,4,23,1,273,222,0,0,0,0,0,0,0,0,1,0,0,0,41,6,0,0,0,0,0,0,0,113,113,0,132,0,0,2,0,0,17
